item.type,item.value,itemLabel.xml:lang,itemLabel.type,itemLabel.value
uri,http://www.wikidata.org/entity/Q28451311,en,literal,Gilly
uri,http://www.wikidata.org/entity/Q26899515,en,literal,Gregor Clegane
uri,http://www.wikidata.org/entity/Q27031110,en,literal,The High Sparrow
uri,http://www.wikidata.org/entity/Q23766545,en,literal,Selwyn Tarth
uri,http://www.wikidata.org/entity/Q23782360,en,literal,Brynden Tully
uri,http://www.wikidata.org/entity/Q24814689,en,literal,Aemon Targaryen
uri,http://www.wikidata.org/entity/Q26944967,en,literal,Grey Worm
uri,http://www.wikidata.org/entity/Q26944959,en,literal,Gendry
uri,http://www.wikidata.org/entity/Q23760198,en,literal,Melara Florent
uri,http://www.wikidata.org/entity/Q55474148,en,literal,Thoros
uri,http://www.wikidata.org/entity/Q55433838,en,literal,Osha
uri,http://www.wikidata.org/entity/Q37944796,en,literal,Drogon
uri,http://www.wikidata.org/entity/Q111620801,en,literal,Viserys I Targaryen
uri,http://www.wikidata.org/entity/Q111620823,en,literal,Alicent Hightower
uri,http://www.wikidata.org/entity/Q111620844,en,literal,Corlys Velaryon
uri,http://www.wikidata.org/entity/Q111620880,en,literal,Criston Cole
uri,http://www.wikidata.org/entity/Q111631894,en,literal,Mysaria
uri,http://www.wikidata.org/entity/Q111631910,en,literal,Otto Hightower
uri,http://www.wikidata.org/entity/Q111631938,en,literal,Baela Targaryen
uri,http://www.wikidata.org/entity/Q111632658,en,literal,Rhaena Targaryen
uri,http://www.wikidata.org/entity/Q111632671,en,literal,Jacaerys Velaryon
uri,http://www.wikidata.org/entity/Q111632709,en,literal,Harwin Strong
uri,http://www.wikidata.org/entity/Q111620853,en,literal,Rhaenys Targaryen (daughter of Aemon)
uri,http://www.wikidata.org/entity/Q111648353,en,literal,Tyland Lannister
uri,http://www.wikidata.org/entity/Q111648397,en,literal,Jason Lannister
uri,http://www.wikidata.org/entity/Q111648594,en,literal,Vaemond Velaryon
uri,http://www.wikidata.org/entity/Q111648620,en,literal,Laenor Velaryon
uri,http://www.wikidata.org/entity/Q55441953,en,literal,Obara Sand
uri,http://www.wikidata.org/entity/Q55452801,en,literal,Rhaenyra Targaryen
uri,http://www.wikidata.org/entity/Q55583339,en,literal,Jaehaerys I Targaryen
uri,http://www.wikidata.org/entity/Q55619566,en,literal,Jeyne Poole
uri,http://www.wikidata.org/entity/Q55783841,en,literal,Alysanne Targaryen
uri,http://www.wikidata.org/entity/Q37944813,en,literal,Rhaegal
uri,http://www.wikidata.org/entity/Q55261312,en,literal,Rhaenys Targaryen
uri,http://www.wikidata.org/entity/Q55282615,en,literal,Brandon Stark
uri,http://www.wikidata.org/entity/Q55409490,en,literal,Brynden Rivers
uri,http://www.wikidata.org/entity/Q55433555,en,literal,Nymeria Sand
uri,http://www.wikidata.org/entity/Q55585578,en,literal,Orys Baratheon
uri,http://www.wikidata.org/entity/Q38137598,en,literal,Euron Greyjoy
uri,http://www.wikidata.org/entity/Q47616729,en,literal,Aegon I Targaryen
uri,http://www.wikidata.org/entity/Q57869907,en,literal,Jeyne Westerling
uri,http://www.wikidata.org/entity/Q23765070,en,literal,Bethany Bolton
uri,http://www.wikidata.org/entity/Q23765105,en,literal,Lancel Lannister
uri,http://www.wikidata.org/entity/Q23765089,en,literal,Merrett Frey
uri,http://www.wikidata.org/entity/Q23782380,en,literal,Cleos Frey
uri,http://www.wikidata.org/entity/Q37946142,en,literal,Three-eyed raven
uri,http://www.wikidata.org/entity/Q28468107,en,literal,Doran Martell
uri,http://www.wikidata.org/entity/Q37944936,en,literal,Balerion
uri,http://www.wikidata.org/entity/Q37944992,en,literal,Vhagar
uri,http://www.wikidata.org/entity/Q55441824,en,literal,Rodrik Cassel
uri,http://www.wikidata.org/entity/Q55237547,en,literal,Hodor
uri,http://www.wikidata.org/entity/Q23780973,en,literal,Willas Tyrell
uri,http://www.wikidata.org/entity/Q24285726,en,literal,Hizdahr zo Loraq
uri,http://www.wikidata.org/entity/Q24944284,en,literal,Tormund Giantsbane
uri,http://www.wikidata.org/entity/Q24951568,en,literal,Missandei
uri,http://www.wikidata.org/entity/Q37944783,en,literal,Viserion
uri,http://www.wikidata.org/entity/Q36860294,en,literal,Alekyne Florent
uri,http://www.wikidata.org/entity/Q55433701,en,literal,Jojen Reed
uri,http://www.wikidata.org/entity/Q55433876,en,literal,Eddison Tollett
uri,http://www.wikidata.org/entity/Q55441912,en,literal,Tyene Sand
uri,http://www.wikidata.org/entity/Q55451082,en,literal,Aegon IV Targaryen
uri,http://www.wikidata.org/entity/Q55547395,en,literal,Daenerys Targaryen (daughter of Aegon IV)
uri,http://www.wikidata.org/entity/Q55548262,en,literal,Aenys I Targaryen
uri,http://www.wikidata.org/entity/Q55625122,en,literal,Brandon the Builder
uri,http://www.wikidata.org/entity/Q64744078,en,literal,R'hllor
uri,http://www.wikidata.org/entity/Q23765068,en,literal,Domeric Bolton
uri,http://www.wikidata.org/entity/Q23765075,en,literal,Walda Frey
uri,http://www.wikidata.org/entity/Q23780478,en,literal,Elia Martell
uri,http://www.wikidata.org/entity/Q23780991,en,literal,Garlan Tyrell
uri,http://www.wikidata.org/entity/Q23782366,en,literal,Genna Frey
uri,http://www.wikidata.org/entity/Q24933002,en,literal,Ellaria Sand
uri,http://www.wikidata.org/entity/Q55451353,en,literal,Aegor Rivers
uri,http://www.wikidata.org/entity/Q55469688,en,literal,Howland Reed
uri,http://www.wikidata.org/entity/Q55520758,en,literal,Daemon Targaryen
uri,http://www.wikidata.org/entity/Q55433629,en,literal,Trystane Martell
uri,http://www.wikidata.org/entity/Q55441721,en,literal,Tycho Nestoris
uri,http://www.wikidata.org/entity/Q55442011,en,literal,Alliser Thorne
uri,http://www.wikidata.org/entity/Q55451167,en,literal,Daemon I Blackfyre
uri,http://www.wikidata.org/entity/Q55451468,en,literal,Daeron II Targaryen
uri,http://www.wikidata.org/entity/Q55619715,en,literal,Greatjon Umber
uri,http://www.wikidata.org/entity/Q55620090,en,literal,Smalljon Umber
uri,http://www.wikidata.org/entity/Q55431714,en,literal,Young Griff
uri,http://www.wikidata.org/entity/Q55433787,en,literal,Yohn Royce
uri,http://www.wikidata.org/entity/Q55452778,en,literal,Aegon II Targaryen
uri,http://www.wikidata.org/entity/Q55552079,en,literal,Duncan the Tall
uri,http://www.wikidata.org/entity/Q55554492,en,literal,Daeron I Targaryen
uri,http://www.wikidata.org/entity/Q111648578,en,literal,Mellos
uri,http://www.wikidata.org/entity/Q55261245,en,literal,Visenya Targaryen
uri,http://www.wikidata.org/entity/Q55464883,en,literal,Shiera Seastar
uri,http://www.wikidata.org/entity/Q55513155,en,literal,Aegon III Targaryen
uri,http://www.wikidata.org/entity/Q55548581,en,literal,Maegor I Targaryen
